Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor Total;Valor Total p m2;Zona;Tipo Agregado
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;1210.0;80.67;Centro;Apartamento
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;1030.0;21.46;Norte;Apartamento
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;1618.0;32.36;Norte;Apartamento
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;2216.0;31.66;Norte;Apartamento
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;1969.0;21.88;Norte;Apartamento
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;2611.0;65.28;Sul;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;1278.0;23.67;Norte;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;2436.0;36.36;Oeste;Apartamento
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;2738.0;24.89;Norte;Apartamento
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;1670.0;24.56;Norte;Apartamento
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;2700.0;34.62;Norte;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;9563.0;76.5;Sul;Apartamento
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;1547.0;32.23;Norte;Apartamento
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;6200.0;35.43;Oeste;Apartamento
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;3240.0;42.63;Sul;Apartamento
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;7700.0;42.78;Sul;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;2948.0;28.08;Oeste;Apartamento
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;5520.0;50.18;Sul;Apartamento
Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;5776.0;28.88;Oeste;Apartamento
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;3035.0;43.36;Oeste;Apartamento
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;11600.0;47.54;Sul;Apartamento
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;6950.0;63.18;Oeste;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;4340.0;48.22;Oeste;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;2980.0;29.8;Oeste;Apartamento
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;3020.0;41.94;Oeste;Apartamento
Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;6800.0;37.78;Sul;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;3340.0;36.3;Oeste;Apartamento
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;1140.0;42.22;Centro;Apartamento
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;2725.0;77.86;Sul;Apartamento
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;2007.0;52.82;Sul;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;2917.0;35.14;Oeste;Apartamento
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;9234.0;60.35;Oeste;Apartamento
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;4722.0;54.28;Sul;Apartamento
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;2474.0;27.49;Norte;Apartamento
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;1813.0;34.21;Oeste;Apartamento
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;7644.0;70.78;Sul;Apartamento
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;2482.0;28.86;Norte;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;2725.0;36.82;Oeste;Apartamento
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;2554.0;34.51;Oeste;Apartamento
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;10400.0;69.33;Sul;Apartamento
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;11300.0;80.71;Sul;Apartamento
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;5170.0;54.42;Sul;Apartamento
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;1660.0;27.67;Norte;Apartamento
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;4735.0;59.19;Sul;Apartamento
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;4370.0;42.02;Oeste;Apartamento
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;1094.0;24.31;Oeste;Apartamento
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;3578.0;51.11;Sul;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;6042.0;68.66;Oeste;Apartamento
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;2540.0;68.65;Centro;Apartamento
Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;7153.0;55.02;Sul;Apartamento
Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0;2240.0;29.09;Norte;Apartamento
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;4090.0;48.12;Oeste;Apartamento
Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;2153.0;27.6;Norte;Apartamento
Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;0.0;2882.0;53.37;Sul;Apartamento
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;2780.0;40.29;Oeste;Apartamento
