Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor Total;Valor Total p m2;Zona;Tipo Agregado
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;1210.0;80.67;Centro;Apartamento
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;1140.0;42.22;Centro;Apartamento
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;2540.0;68.65;Centro;Apartamento
Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0;1794.0;51.26;Centro;Apartamento
Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;0.0;1600.0;32.0;Centro;Apartamento
Apartamento;Centro;1;0;0;42;2200.0;619.0;202.0;3021.0;71.93;Centro;Apartamento
Apartamento;Rio Comprido;2;1;0;69;1900.0;600.0;70.0;2570.0;37.25;Centro;Apartamento
Apartamento;Glória;1;0;0;48;1400.0;480.0;20.0;1900.0;39.58;Centro;Apartamento
Apartamento;Santa Teresa;2;0;0;65;1400.0;600.0;0.0;2000.0;30.77;Centro;Apartamento
Apartamento;Glória;1;0;0;28;1500.0;250.0;0.0;1750.0;62.5;Centro;Apartamento
Apartamento;Saúde;2;0;0;65;1300.0;468.0;30.0;1798.0;27.66;Centro;Apartamento
Apartamento;Centro;1;0;1;38;1150.0;400.0;25.0;1575.0;41.45;Centro;Apartamento
Apartamento;Santa Teresa;1;0;0;21;800.0;312.0;15.0;1127.0;53.67;Centro;Apartamento
Apartamento;Centro;1;0;0;35;1000.0;300.0;0.0;1300.0;37.14;Centro;Apartamento
Apartamento;Fátima;1;0;0;50;1100.0;558.0;20.0;1678.0;33.56;Centro;Apartamento
Apartamento;Santa Teresa;1;1;0;49;1150.0;570.0;28.0;1748.0;35.67;Centro;Apartamento
Apartamento;Rio Comprido;2;1;0;56;1000.0;312.0;33.0;1345.0;24.02;Centro;Apartamento
Apartamento;Glória;1;0;0;42;1500.0;400.0;24.0;1924.0;45.81;Centro;Apartamento
Apartamento;Centro;2;0;0;75;1500.0;935.0;73.0;2508.0;33.44;Centro;Apartamento
Apartamento;Centro;3;1;0;95;2000.0;867.0;72.0;2939.0;30.94;Centro;Apartamento
Apartamento;Glória;1;0;0;34;1100.0;275.0;14.0;1389.0;40.85;Centro;Apartamento
Apartamento;Rio Comprido;2;1;0;73;1490.0;491.0;14.0;1995.0;27.33;Centro;Apartamento
Apartamento;Glória;2;2;0;78;2470.0;738.0;121.0;3329.0;42.68;Centro;Apartamento
Apartamento;São Cristóvão;2;1;1;55;1900.0;575.0;0.0;2475.0;45.0;Centro;Apartamento
Apartamento;Centro;1;1;0;38;1500.0;530.0;0.0;2030.0;53.42;Centro;Apartamento
Apartamento;Centro;1;0;0;30;900.0;320.0;0.0;1220.0;40.67;Centro;Apartamento
Apartamento;Centro;1;0;0;21;900.0;289.0;20.0;1209.0;57.57;Centro;Apartamento
Apartamento;Rio Comprido;1;0;0;33;800.0;275.0;24.0;1099.0;33.3;Centro;Apartamento
Apartamento;São Cristóvão;1;0;0;56;850.0;450.0;15.0;1315.0;23.48;Centro;Apartamento
Apartamento;Lapa;1;0;0;99;1800.0;650.0;48.0;2498.0;25.23;Centro;Apartamento
Apartamento;Centro;2;0;0;69;1600.0;352.0;438.0;2390.0;34.64;Centro;Apartamento
Apartamento;Catumbi;2;1;0;46;1150.0;170.0;0.0;1320.0;28.7;Centro;Apartamento
Apartamento;Santa Teresa;2;0;0;74;1600.0;1.0;1.0;1602.0;21.65;Centro;Apartamento
Apartamento;Centro;1;0;0;38;900.0;223.0;15.0;1138.0;29.95;Centro;Apartamento
Apartamento;Santa Teresa;1;0;0;45;740.0;180.0;25.0;945.0;21.0;Centro;Apartamento
Apartamento;Rio Comprido;2;1;1;48;1600.0;524.0;12.0;2136.0;44.5;Centro;Apartamento
Apartamento;Glória;1;0;1;48;1100.0;500.0;0.0;1600.0;33.33;Centro;Apartamento
Apartamento;Centro;3;2;1;120;2500.0;1500.0;208.0;4208.0;35.07;Centro;Apartamento
Apartamento;Centro;1;0;0;50;1260.0;290.0;23.0;1573.0;31.46;Centro;Apartamento
Apartamento;São Cristóvão;2;1;1;55;1500.0;520.0;1.0;2021.0;36.75;Centro;Apartamento
Apartamento;Rio Comprido;2;0;0;67;1500.0;454.0;15.0;1969.0;29.39;Centro;Apartamento
Apartamento;Lapa;1;0;0;32;1600.0;500.0;20.0;2120.0;66.25;Centro;Apartamento
Apartamento;Glória;2;1;0;74;2200.0;725.0;125.0;3050.0;41.22;Centro;Apartamento
Apartamento;Centro;1;0;0;40;1000.0;510.0;21.0;1531.0;38.28;Centro;Apartamento
Apartamento;Santa Teresa;1;0;0;31;1300.0;500.0;0.0;1800.0;58.06;Centro;Apartamento
Apartamento;Glória;1;0;0;50;1400.0;450.0;20.0;1870.0;37.4;Centro;Apartamento
Apartamento;Centro;1;0;0;55;850.0;350.0;35.0;1235.0;22.45;Centro;Apartamento
Apartamento;Centro;1;0;0;28;900.0;446.0;24.0;1370.0;48.93;Centro;Apartamento
Apartamento;Santa Teresa;2;1;0;69;2000.0;711.0;0.0;2711.0;39.29;Centro;Apartamento
Apartamento;Centro;1;0;0;35;950.0;340.0;24.0;1314.0;37.54;Centro;Apartamento
Apartamento;Glória;2;0;0;62;1300.0;495.0;0.0;1795.0;28.95;Centro;Apartamento
Apartamento;Rio Comprido;3;1;1;144;2499.0;100.0;125.0;2724.0;18.92;Centro;Apartamento
Apartamento;Glória;1;0;0;50;1300.0;640.0;57.0;1997.0;39.94;Centro;Apartamento
Apartamento;Glória;1;0;0;60;1500.0;775.0;0.0;2275.0;37.92;Centro;Apartamento
Apartamento;Glória;1;0;0;50;950.0;570.0;67.0;1587.0;31.74;Centro;Apartamento
Apartamento;Centro;1;1;0;42;1500.0;490.0;22.0;2012.0;47.9;Centro;Apartamento
