Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor Total;Valor Total p m2;Zona;Tipo Agregado
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;1030.0;21.46;Norte;Apartamento
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;1618.0;32.36;Norte;Apartamento
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;2216.0;31.66;Norte;Apartamento
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;1969.0;21.88;Norte;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;1278.0;23.67;Norte;Apartamento
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;2738.0;24.89;Norte;Apartamento
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;1670.0;24.56;Norte;Apartamento
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;2700.0;34.62;Norte;Apartamento
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;1547.0;32.23;Norte;Apartamento
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;2474.0;27.49;Norte;Apartamento
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;2482.0;28.86;Norte;Apartamento
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;1660.0;27.67;Norte;Apartamento
Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0;2240.0;29.09;Norte;Apartamento
Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;2153.0;27.6;Norte;Apartamento
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;2984.0;37.3;Norte;Apartamento
Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;3650.0;21.22;Norte;Apartamento
Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;9235.0;35.38;Norte;Apartamento
Apartamento;Olaria;2;1;0;53;1100.0;160.0;0.0;1260.0;23.77;Norte;Apartamento
Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;1827.0;33.22;Norte;Apartamento
Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;1309.0;35.38;Norte;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;2456.0;33.19;Norte;Apartamento
Apartamento;Méier;2;0;0;56;899.0;402.0;135.0;1436.0;25.64;Norte;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;1854.0;26.11;Norte;Apartamento
Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;2350.0;27.01;Norte;Apartamento
Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0;1770.0;22.69;Norte;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0;2250.0;23.68;Norte;Apartamento
Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0;1898.0;31.11;Norte;Apartamento
Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;3408.0;43.69;Norte;Apartamento
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;1520.0;23.38;Norte;Apartamento
Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;0.0;3665.0;23.2;Norte;Apartamento
