Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor Total;Valor Total p m2;Zona;Tipo Agregado
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;2436.0;36.36;Oeste;Apartamento
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;6200.0;35.43;Oeste;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;2948.0;28.08;Oeste;Apartamento
Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;5776.0;28.88;Oeste;Apartamento
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;3035.0;43.36;Oeste;Apartamento
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;6950.0;63.18;Oeste;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;4340.0;48.22;Oeste;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;2980.0;29.8;Oeste;Apartamento
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;3020.0;41.94;Oeste;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;3340.0;36.3;Oeste;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;2917.0;35.14;Oeste;Apartamento
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;9234.0;60.35;Oeste;Apartamento
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;1813.0;34.21;Oeste;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;2725.0;36.82;Oeste;Apartamento
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;2554.0;34.51;Oeste;Apartamento
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;4370.0;42.02;Oeste;Apartamento
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;1094.0;24.31;Oeste;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;6042.0;68.66;Oeste;Apartamento
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;4090.0;48.12;Oeste;Apartamento
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;2780.0;40.29;Oeste;Apartamento
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;4188.0;53.69;Oeste;Apartamento
Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;1600.0;26.67;Oeste;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;4235.0;47.06;Oeste;Apartamento
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;2713.0;38.76;Oeste;Apartamento
Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;12127.0;55.12;Oeste;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;2224.0;24.71;Oeste;Apartamento
Apartamento;Praça Seca;2;0;0;80;900.0;350.0;0.0;1250.0;15.62;Oeste;Apartamento
Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;4708.0;36.78;Oeste;Apartamento
Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;2272.0;39.17;Oeste;Apartamento
