Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor Total;Valor Total p m2;Zona;Tipo Agregado
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;2611.0;65.28;Sul;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;9563.0;76.5;Sul;Apartamento
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;3240.0;42.63;Sul;Apartamento
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;7700.0;42.78;Sul;Apartamento
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;5520.0;50.18;Sul;Apartamento
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;11600.0;47.54;Sul;Apartamento
Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;6800.0;37.78;Sul;Apartamento
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;2725.0;77.86;Sul;Apartamento
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;2007.0;52.82;Sul;Apartamento
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;4722.0;54.28;Sul;Apartamento
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;7644.0;70.78;Sul;Apartamento
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;10400.0;69.33;Sul;Apartamento
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;11300.0;80.71;Sul;Apartamento
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;5170.0;54.42;Sul;Apartamento
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;4735.0;59.19;Sul;Apartamento
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;3578.0;51.11;Sul;Apartamento
Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;7153.0;55.02;Sul;Apartamento
Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;0.0;2882.0;53.37;Sul;Apartamento
Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;9170.0;76.42;Sul;Apartamento
Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0;5447.0;63.34;Sul;Apartamento
Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;27162.0;187.32;Sul;Apartamento
Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;3498.0;42.14;Sul;Apartamento
Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;5665.0;70.81;Sul;Apartamento
Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;8775.0;59.69;Sul;Apartamento
Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;4610.0;68.81;Sul;Apartamento
Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;3670.0;47.66;Sul;Apartamento
Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;5911.0;69.54;Sul;Apartamento
Apartamento;Catete;2;0;0;75;3350.0;455.0;0.0;3805.0;50.73;Sul;Apartamento
Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;7700.0;51.33;Sul;Apartamento
Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0;6910.0;54.41;Sul;Apartamento
Apartamento;Gávea;3;1;1;160;8000.0;2000.0;0.0;10000.0;62.5;Sul;Apartamento
Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;8420.0;42.1;Sul;Apartamento
Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;7020.0;70.2;Sul;Apartamento
Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;7570.0;39.84;Sul;Apartamento
Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0;4981.0;47.44;Sul;Apartamento
Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;2020.0;57.71;Sul;Apartamento
Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;4240.0;42.4;Sul;Apartamento
Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;8750.0;76.09;Sul;Apartamento
Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;4980.0;71.14;Sul;Apartamento
Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;2384.0;59.6;Sul;Apartamento
Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;8934.0;35.74;Sul;Apartamento
Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;0.0;5047.0;36.05;Sul;Apartamento
Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;4010.0;80.2;Sul;Apartamento
Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0;5559.0;74.12;Sul;Apartamento
Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;0.0;12000.0;30.0;Sul;Apartamento
Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;8900.0;70.63;Sul;Apartamento
Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;5043.0;57.97;Sul;Apartamento
Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;9452.0;32.82;Sul;Apartamento
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;5500.0;78.57;Sul;Apartamento
Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;0.0;3711.0;41.23;Sul;Apartamento
Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0;8806.0;62.9;Sul;Apartamento
Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0;5209.0;46.51;Sul;Apartamento
Apartamento;Copacabana;2;0;0;54;1800.0;590.0;0.0;2390.0;44.26;Sul;Apartamento
Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0;4845.0;69.21;Sul;Apartamento
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;1379.0;39.4;Sul;Apartamento
Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0;5612.0;71.04;Sul;Apartamento
Apartamento;Humaitá;1;0;0;57;3990.0;860.0;100.0;4950.0;86.84;Sul;Apartamento
Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0;5520.0;55.2;Sul;Apartamento
Apartamento;Ipanema;3;2;1;165;7500.0;2200.0;532.0;10232.0;62.01;Sul;Apartamento
Apartamento;Ipanema;3;2;2;160;6000.0;3500.0;4600.0;14100.0;88.12;Sul;Apartamento
Apartamento;Flamengo;1;1;0;48;2100.0;580.0;70.0;2750.0;57.29;Sul;Apartamento
Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0;6461.0;74.26;Sul;Apartamento
Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;0.0;6400.0;62.75;Sul;Apartamento
Apartamento;Gávea;3;0;1;120;2700.0;880.0;238.0;3818.0;31.82;Sul;Apartamento
Apartamento;Humaitá;2;2;1;112;4500.0;1300.0;0.0;5800.0;51.79;Sul;Apartamento
Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0;3810.0;50.8;Sul;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;9563.0;76.5;Sul;Apartamento
Apartamento;Gávea;2;1;1;68;2700.0;850.0;186.0;3736.0;54.94;Sul;Apartamento
Apartamento;Ipanema;2;1;1;97;7000.0;4000.0;4725.0;15725.0;162.11;Sul;Apartamento
Apartamento;Copacabana;4;2;1;279;3150.0;2025.0;370.0;5545.0;19.87;Sul;Apartamento
Apartamento;Copacabana;2;1;1;81;2900.0;893.0;190.0;3983.0;49.17;Sul;Apartamento
Apartamento;Ipanema;2;0;1;75;5200.0;476.0;120.0;5796.0;77.28;Sul;Apartamento
Apartamento;Laranjeiras;2;1;1;70;2300.0;620.0;190.0;3110.0;44.43;Sul;Apartamento
Apartamento;Copacabana;1;0;0;43;1600.0;452.0;242.0;2294.0;53.35;Sul;Apartamento
Apartamento;Copacabana;3;0;0;120;3000.0;1420.0;0.0;4420.0;36.83;Sul;Apartamento
Apartamento;Copacabana;1;0;0;45;2800.0;450.0;30.0;3280.0;72.89;Sul;Apartamento
Apartamento;Laranjeiras;2;0;0;110;2500.0;968.0;167.0;3635.0;33.05;Sul;Apartamento
Apartamento;Flamengo;2;0;0;85;2700.0;800.0;1150.0;4650.0;54.71;Sul;Apartamento
Apartamento;Leme;3;1;1;175;8000.0;1380.0;0.0;9380.0;53.6;Sul;Apartamento
Apartamento;Humaitá;2;1;0;64;2500.0;520.0;0.0;3020.0;47.19;Sul;Apartamento
Apartamento;Copacabana;1;0;1;37;2500.0;447.0;20.0;2967.0;80.19;Sul;Apartamento
Apartamento;Gávea;3;1;1;108;5000.0;1769.0;226.0;6995.0;64.77;Sul;Apartamento
Apartamento;Catete;1;0;0;45;1600.0;500.0;55.0;2155.0;47.89;Sul;Apartamento
Apartamento;Lagoa;3;2;1;130;5000.0;1000.0;300.0;6300.0;48.46;Sul;Apartamento
Apartamento;Copacabana;3;0;0;80;2500.0;800.0;157.0;3457.0;43.21;Sul;Apartamento
Apartamento;Copacabana;1;0;0;43;1800.0;639.0;76.0;2515.0;58.49;Sul;Apartamento
Apartamento;Lagoa;2;1;1;80;2200.0;2600.0;420.0;5220.0;65.25;Sul;Apartamento
Apartamento;Flamengo;2;1;0;57;2800.0;832.0;98.0;3730.0;65.44;Sul;Apartamento
Apartamento;Jardim Botânico;3;1;2;170;6000.0;860.0;540.0;7400.0;43.53;Sul;Apartamento
Apartamento;Ipanema;1;0;1;50;2400.0;897.0;26.0;3323.0;66.46;Sul;Apartamento
Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0;3540.0;54.46;Sul;Apartamento
Apartamento;Ipanema;3;1;1;145;7200.0;2900.0;500.0;10600.0;73.1;Sul;Apartamento
Apartamento;Urca;1;0;0;53;2800.0;770.0;0.0;3570.0;67.36;Sul;Apartamento
Apartamento;Ipanema;3;1;1;116;5000.0;1600.0;316.0;6916.0;59.62;Sul;Apartamento
Apartamento;Flamengo;2;1;0;68;2000.0;536.0;148.0;2684.0;39.47;Sul;Apartamento
Apartamento;Copacabana;1;0;0;60;2800.0;620.0;128.0;3548.0;59.13;Sul;Apartamento
Apartamento;Jardim Botânico;3;1;1;130;6400.0;1500.0;0.0;7900.0;60.77;Sul;Apartamento
Apartamento;Leblon;2;1;0;90;3500.0;1300.0;200.0;5000.0;55.56;Sul;Apartamento
Apartamento;Leblon;4;2;4;200;8500.0;2710.0;945.0;12155.0;60.78;Sul;Apartamento
Apartamento;Flamengo;1;0;0;30;1490.0;315.0;55.0;1860.0;62.0;Sul;Apartamento
Apartamento;Copacabana;1;1;0;150;3000.0;1200.0;390.0;4590.0;30.6;Sul;Apartamento
Apartamento;Flamengo;1;0;1;38;1450.0;690.0;55.0;2195.0;57.76;Sul;Apartamento
Apartamento;Botafogo;2;0;0;115;2200.0;1045.0;190.0;3435.0;29.87;Sul;Apartamento
